,location,latitude,longitude
166,"Kansas City, MO",39.0997265,-94.5785667
167,"Fontana, CA",34.0922335,-117.435048
168,"Walnut Creek, CA",37.9100783,-122.06518190000001
169,"Napa, CA",38.502468900000004,-122.26538870000002
170,"San Antonio, TX",29.4241219,-98.4936282
171,"Follansbee, WV",40.3275693,-80.5959065
172,"Kenosha, WI",42.5847425,-87.82118539999998
173,"Ruth, MS",31.381562699999996,-90.3164819
174,"Onalaska, TX",30.805746000000003,-95.1163261
175,"Sacramento, CA",38.5815719,-121.49439960000001
178,"Bakersfield, CA",35.3732921,-119.0187125
180,"Jacksonville, FL",30.3321838,-81.65565099999998
181,"Sumas, WA",49.0001217,-122.2648752
182,"Lawrence County, AL",34.567428,-87.30161319999998
183,"Middleton, ID",43.7068281,-116.6201357
184,"Red Valley, AZ",36.6039938,-109.06038249999999
185,"Coal County, OK",34.568577000000005,-96.2800864
186,"Clarendon, NY",43.193393,-78.06473869999998
188,"Cottonwood, AZ",34.7391876,-112.00987909999999
189,"Vallejo, CA",38.1040864,-122.25663670000002
190,"Portland, OR",45.5051064,-122.6750261
192,"Santa Clara, CA",37.354107899999995,-121.9552356
193,"Fond du Lac, WI",43.7730448,-88.44705079999999
194,"Portsmouth, VA",36.835425799999996,-76.29827420000001
195,"Smyrna, GA",33.883992600000006,-84.51437609999998
196,"Johnsonville, SC",33.8179432,-79.4492228
197,"South Los Angeles, CA",33.9891116,-118.29148719999999
198,"Gardner, KS",38.8108408,-94.9271868
199,"Wilmington, CA",33.7857948,-118.26435670000001
200,"Encinitas, CA",33.0369867,-117.2919818
201,"Fort Pierce, FL",27.446705600000005,-80.3256056
202,"Webster, MA",42.05009099999999,-71.88006279999998
203,"Oxnard, CA",34.1975048,-119.17705159999998
204,"Fort Ashby, WV",39.5031465,-78.76862969999998
205,"Boston, MA",42.360082500000004,-71.0588801
206,"Jasper, OH",39.05007,-83.05656789999998
207,"Elizabethtown, KY",37.7030646,-85.8649408
208,"Eugene, OR",44.0520691,-123.08675359999998
209,"Boulder City, NV",35.978221600000005,-114.83451170000001
210,"Carollwood, FL",28.0544223,-82.5131717
211,"Baytown, TX",29.735504700000003,-94.9774274
212,"Fort Meade, MD",39.10426349999999,-76.73423989999998
213,"Hawthorne, CA",33.9164032,-118.35257479999999
214,"Hamilton, NJ",40.2115109,-74.6796651
215,"Rock Island, IL",41.5094771,-90.57874759999999
216,"Metropolis, IL",37.151165500000005,-88.73199790000002
217,"Tulsa, OK",36.1539816,-95.992775
218,"Pineville, LA",31.3224044,-92.4343035
220,"Zion, IL",42.4461322,-87.83285049999998
221,"North Charleston, SC",32.8771106,-80.01305140000001
222,"Orange, CA",33.7879139,-117.8531007
223,"Edgewood, NM",35.0614358,-106.19141409999999
224,"Tehachapi, CA",35.1321877,-118.44897390000001
225,"Harvey, LA",29.9035387,-90.0772944
226,"Jefferson County, ID",43.7640903,-112.24936709999999
227,"Pottawatomie County, OK",35.275439,-97.0068393
228,"Valdosta, GA",30.8327022,-83.2784851
229,"Sunnyvale, CA",37.368829999999996,-122.03634960000001
230,"Kellyville, OK",35.9436968,-96.21361359999999
231,"Navarre, FL",30.4109342,-86.91232169999998
232,"Monon, IN",40.8678171,-86.87890440000001
233,"Straban Township, PA",39.8716058,-77.1735312
234,"Boiling Springs, SC",35.046508,-81.98177259999999
235,"Corning, CA",39.927657200000006,-122.17915559999999
236,"Topeka, KS",39.0473451,-95.6751576
237,"Sand Springs, OK",36.1398102,-96.108891
238,"Salemburg, NC",35.0154469,-78.5030622
239,"Alton, IL",38.890603799999994,-90.1842764
240,"DeSoto, TX",32.589699800000005,-96.8570738
241,"Jonesboro, AR",35.84229670000001,-90.704279
242,"Miami, FL",25.7616798,-80.1917902
243,"Spartanburg, SC",34.949567200000004,-81.93204820000001
244,"Cañon City, CO",38.4494063,-105.22533159999999
245,"Montclair, CA",34.0775104,-117.68977759999999
246,"Shafter, CA",35.500513899999994,-119.2717761
247,"Chicago, IL",41.8781136,-87.62979820000001
248,"Jennings, MO",38.7192175,-90.2603903
249,"Panama City, FL",30.158812899999997,-85.6602058
252,"Mission, TX",26.2159066,-98.3252932
253,"Trenton, NJ",40.2205824,-74.75971700000001
254,"Lakewood, WA",47.1717649,-122.51845800000001
255,"Irmo, SC",34.0859829,-81.18315129999999
256,"Bisbee, AZ",31.448154700000003,-109.92840840000001
257,"Queens, NY",40.7282239,-73.7948516
258,"Eldorado Springs, CO",39.9324862,-105.2769348
259,"Sylmar, CA",34.3058279,-118.45719740000001
260,"Rufe, OK",34.1237158,-95.1441197
261,"Long Beach, CA",33.770050399999995,-118.1937395
262,"Windsor, CA",38.547132700000006,-122.81638020000001
263,"Miami, OK",36.8745146,-94.8774554
264,"Trinidad, CO",37.1694632,-104.5005407
265,"Victoria, TX",28.805267399999998,-97.00359820000001
266,"New York, NY",40.7127753,-74.0059728
267,"Clermont, FL",28.5494447,-81.77285429999998
268,"Bunch, OK",35.6826766,-94.7608801
270,"Fountain Valley, CA",33.7090212,-117.95440690000001
271,"Detroit, MI",42.331427000000005,-83.0457538
272,"Mansfield, OH",40.758390000000006,-82.51544709999999
274,"Chickasha, OK",35.052565,-97.9364326
275,"Mesa, AZ",33.4151843,-111.83147240000001
276,"Elk Grove, CA",38.4087993,-121.37161780000001
277,"Emporia, VA",36.6859829,-77.5424809
278,"Nashville, TN",36.1626638,-86.78160159999999
279,"San Diego, CA",32.715738,-117.1610838
280,"Smyrna, DE",39.299833899999996,-75.6046494
281,"Roosevelt, UT",40.299403000000005,-109.9887605
282,"Garland, TX",32.912624,-96.6388833
283,"Chavies, KY",37.3478702,-83.3562912
284,"Kennewick, WA",46.2086683,-119.119948
285,"Venice, CA",33.9850469,-118.4694832
286,"South El Monte, CA",34.0519548,-118.04673390000002
287,"Pulaski, VA",37.0478982,-80.77979350000001
288,"Wake Forest, NC",35.9798734,-78.50972279999998
289,"Lawrenceville, GA",33.9562149,-83.9879625
290,"Beacon, NY",41.5048158,-73.9695832
291,"Cerritos, CA",33.858348299999996,-118.0647871
292,"Kearny, AZ",33.0570085,-110.9106656
293,"Constantia, NY",43.2644105,-75.94632399999998
294,"Fridley, MN",45.086076500000004,-93.2632821
295,"Tacoma, WA",47.252876799999996,-122.4442906
296,"Landover, MD",38.93400020000001,-76.8966397
297,"St. Augustine, FL",29.9012437,-81.31243409999998
298,"Honolulu, HI",21.3069444,-157.8583333
299,"Rancho Santa Margarita, CA",33.640171,-117.602832
300,"Portage, MI",42.20115379999999,-85.5800022
301,"Rockford, IL",42.2711311,-89.09399520000001
302,"Harvey, IL",41.610034399999996,-87.6467131
303,"St. Petersburg, FL",27.767600800000004,-82.64029149999998
304,"Arlington, VA",38.879969700000004,-77.1067698
305,"Cabot, AR",34.974532,-92.01653359999999
306,"Grand Junction, CO",39.0638705,-108.5506486
307,"Lancaster, PA",40.0466571,-76.17837390000003
308,"Green, OH",40.945889799999996,-81.4831714
309,"Owensboro, KY",37.771907399999996,-87.1111676
310,"Gillette, WY",44.2910915,-105.5022205
312,"Hackensack, NJ",40.8859325,-74.0434736
313,"Charleston, SC",32.776474900000004,-79.93105120000001
314,"Somerset, PA",40.008410999999995,-79.07808309999999
315,"Sedalia, MO",38.7044609,-93.2282613
316,"Eagar, AZ",34.1111581,-109.291475
317,"Huntsville, AL",34.730368799999994,-86.5861037
318,"Snohomish, WA",47.91287560000001,-122.0981847
319,"Bossier City, LA",32.5159852,-93.7321228
320,"Ideal Beach, NJ",40.444781799999994,-74.11188349999998
321,"Edmond, OK",35.6528323,-97.47809540000002
322,"Rockville, GA",33.32763619999999,-83.2187677
323,"Alpine, CA",32.8350521,-116.76641090000001
324,"Lancaster, SC",34.72042570000001,-80.77090140000001
325,"Northglenn, CO",39.8961821,-104.98114679999999
326,"Carrollton, GA",33.580110299999994,-85.0766113
327,"Trenton, MI",42.139485799999996,-83.1782587
328,"Lyndhurst, NJ",40.81201710000001,-74.1243063
329,"Okmulgee County, OK",35.679587299999994,-95.98325770000001
330,"Wilderville, OR",42.382338,-123.46700770000001
331,"Palestine, TX",31.762115299999998,-95.6307891
332,"Greece, NY",43.2097837,-77.6930602
333,"Roslindale, MA",42.2832142,-71.1270268
334,"Azle, TX",32.8951262,-97.5458565
335,"Delano, CA",35.7688425,-119.24705359999999
336,"Los Lunas, NM",34.806166,-106.73335990000001
337,"Ellis County, TX",32.2619765,-96.8350999
338,"Fuqua, TX",30.447151399999996,-94.7363152
340,"Santa Maria, CA",34.953033700000006,-120.43571909999999
341,"Morgantown, WV",39.629526,-79.95589679999998
342,"Oakland, CA",37.804351399999994,-122.27116389999999
343,"North Port, FL",27.044224,-82.23592540000001
344,"Watsonsville, CA",36.910231,-121.7568946
345,"Midland, TX",31.9973456,-102.0779146
346,"Strasburg, CO",39.738316299999994,-104.32329240000001
347,"Melbourne, FL",28.0836269,-80.60810889999998
348,"Woodland, WA",45.9045591,-122.7439912
349,"Beech Grove, IN",39.721988399999994,-86.0899847
350,"Sun City, AZ",33.5975393,-112.2718239
351,"Findlay, OH",41.04422,-83.6499321
352,"Tomball, TX",30.097162100000006,-95.61605490000001
353,"Cincinnati, OH",39.103118200000004,-84.5120196
354,"Bronx, NY",40.844781899999994,-73.86482679999999
355,"Pompano Beach, FL",26.2378597,-80.1247667
356,"Columbia, TN",35.6150716,-87.03528309999999
357,"Bexar County, TX",29.420076300000005,-98.5721016
358,"Kokomo, IN",40.486427,-86.13360329999998
359,"Fort Wayne, IN",41.079273,-85.13935129999999
360,"Louisville, KY",38.252664700000004,-85.7584557
361,"Hutchins, TX",32.6492999,-96.7130521
362,"South Lake Tahoe, CA",38.939926,-119.9771868
363,"Visalia, CA",36.330228399999996,-119.2920585
364,"Wood Lake, ND",47.8805328,-98.82088890000001
365,"Clanton, AL",32.8387371,-86.6294262
366,"Hobbs, NM",32.702611600000004,-103.13604029999999
367,"Coney Island, NY",40.5755438,-73.9707016
368,"Greeley, CO",40.42331420000001,-104.7091322
369,"Azusa, CA",34.1336186,-117.90756270000001
370,"Ronda, NC",36.2184669,-80.9411858
371,"Citrus Heights, CA",38.7071247,-121.2810611
372,"Augusta, GA",33.4734978,-82.0105148
373,"Pittsburgh, PA",40.44062479999999,-79.9958864
374,"Hutchinson, KS",38.0608445,-97.9297743
375,"Weatherford, TX",32.7592955,-97.79725440000001
376,"York County, VA",37.2103925,-76.38687970000001
377,"Owings Mills, MD",39.4195499,-76.7802528
378,"Fresno, CA",36.737798100000006,-119.78712469999999
379,"Malone, NY",44.848659600000005,-74.29489830000001
380,"Tahlequah, OK",35.91537,-94.96995600000001
381,"Edinburg, NY",43.2217388,-74.1040191
382,"Franklin, NC",35.182317100000006,-83.3815429
383,"McMinnville, OR",45.21011619999999,-123.1987163
384,"Josephine County, OR",42.344757200000004,-123.4568737
385,"Brockton, MA",42.083433500000005,-71.0183787
386,"Meadow Bridge, WV",37.85900609999999,-80.8542568
387,"West Covina, CA",34.0686208,-117.93895259999998
388,"Lancaster, CA",34.6867846,-118.1541632
389,"Camden, NJ",39.9259463,-75.1196199
390,"Miami Beach, FL",25.790654,-80.1300455
391,"Morristown, TN",36.2139814,-83.29489219999998
392,"Newport News, VA",37.087082099999996,-76.4730122
393,"Henderson, NV",36.0395247,-114.9817213
394,"Pleasanton, CA",37.6604484,-121.87579679999999
395,"Hawaiian Gardens, CA",33.8314045,-118.07284240000001
396,"Bath, NH",44.167007899999994,-71.96620089999998
397,"Atwater, CA",37.3477174,-120.60908400000001
398,"Lakewood, CA",33.853626899999995,-118.13395630000001
399,"Edinburg, TX",26.3017374,-98.1633432
400,"Atlantic City, NJ",39.3642834,-74.4229266
401,"Sugar Creek, MO",39.1097268,-94.44467420000001
402,"Beaverton, OR",45.4888761,-122.8013771
403,"Ashe County, NC",36.4339674,-81.47183869999998
404,"Parowan, UT",37.8421975,-112.8279996
405,"Boulder Creek, CA",37.12605780000001,-122.12218689999999
406,"Covington, GA",33.5967815,-83.86018270000001
408,"Plantation, FL",26.1275862,-80.23310359999998
409,"River Forest, IL",41.893961700000006,-87.81984779999998
410,"Casper, WY",42.8500769,-106.32517490000001
411,"Stone Mountain, GA",33.808160799999996,-84.17019599999998
412,"Dunsmuir, CA",41.208208899999995,-122.27195290000002
413,"Lynn, MA",42.46676300000001,-70.9494938
414,"Mascotte, FL",28.578331300000002,-81.88674509999998
415,"Southington, OH",41.30838929999999,-80.955924
416,"Marion, MI",44.1025148,-85.14698349999998
417,"Moreno Valley, CA",33.9424658,-117.2296717
418,"Wauwatosa, WI",43.049457200000006,-88.0075875
419,"Homestead, FL",25.468722399999997,-80.4775569
420,"Chattanooga, TN",35.0456297,-85.3096801
421,"Cheyenne, WY",41.1399814,-104.8202462
422,"Opp, AL",31.2826685,-86.2555067
423,"Seattle, WA",47.6062095,-122.33207079999998
424,"Needles, CA",34.8480597,-114.6141315
425,"Brownsville, TX",25.9017472,-97.4974838
427,"Colby, KS",39.3958369,-101.05237729999999
428,"Mt. Auburn, OH",39.12148679999999,-84.50911020000001
429,"Winnie, TX",29.8202205,-94.3840777
430,"White, GA",34.2828722,-84.74521379999999
431,"Oakland Park, FL",26.1723065,-80.13198929999999
432,"Jesup, GA",31.6074365,-81.88539240000001
433,"Monroe, WI",42.60111939999999,-89.6384532
434,"Philadelphia, PA",39.9525839,-75.1652215
435,"Dayton, OH",39.758947799999994,-84.1916069
436,"Plymouth, MN",45.01051939999999,-93.4555093
437,"Myrtle Beach, SC",33.689060299999994,-78.8866943
438,"Douglas, WY",42.7596897,-105.38220690000001
439,"Meadow Vista, CA",39.0010079,-121.0218887
440,"Studio City, CA",34.1395597,-118.38709909999999
441,"Pinnacle, NC",36.329305100000006,-80.43311159999998
442,"Decatur, GA",33.7748275,-84.2963123
443,"Micanopy, FL",29.504692,-82.27982270000001
444,"Shreveport, LA",32.5251516,-93.75017890000001
445,"Seneca, SC",34.685655499999996,-82.9532036
446,"Houma, LA",29.5957696,-90.7195348
447,"Boulder, CO",40.0149856,-105.2705456
448,"Manila, AR",35.88007329999999,-90.1670393
449,"Las Cruces, NM",32.3199396,-106.7636538
450,"Logan, UT",41.7369803,-111.83383590000001
451,"Gardnerville Ranchos, NV",38.8882398,-119.7412875
452,"Whittier, CA",33.97917929999999,-118.032844
455,"Campbelltown, PA",40.2775915,-76.5852462
456,"Powhatan County, VA",37.5643209,-77.88245959999998
457,"Muncie, IN",40.1933767,-85.3863599
458,"San Diego County, CA",32.7157305,-117.16109660000001
459,"Rantoul, IL",40.3083672,-88.1558785
460,"Greenfield, WI",42.9614039,-88.0125865
461,"Maui, HI",20.7983626,-156.3319253
462,"Richmond, VA",37.540724600000004,-77.4360481
463,"Antioch, TN",36.0597177,-86.6715948
464,"Elsmere, KY",39.012560799999996,-84.60466629999998
465,"Arlington, TX",32.735687,-97.1080656
466,"Superior, MT",47.19159370000001,-114.89179779999999
467,"Greenville, NC",35.612660999999996,-77.3663538
468,"Brookshire, TX",29.7860643,-95.9510661
469,"Summerville, SC",33.0185039,-80.17564809999998
470,"Spokane, WA",47.6587802,-117.42604650000001
471,"Ardmore, OK",34.1742611,-97.1436254
472,"Pittston, PA",41.3259134,-75.78936039999998
473,"Gilbert, AZ",33.3528264,-111.789027
474,"Sandpoint, ID",48.276577,-116.55346499999999
475,"Waco, TX",31.549333,-97.1466695
476,"Odessa, TX",31.8456816,-102.3676431
477,"Toledo, OH",41.6528052,-83.53786740000001
478,"Staten Island, NY",40.579531700000004,-74.1502007
480,"District Heights, MD",38.8576128,-76.8894171
481,"Bolton, CT",41.7689878,-72.4334173
482,"Hanover, IN",38.7142263,-85.47357070000001
483,"Inyokern, CA",35.646899100000006,-117.8125674
484,"Carson City, NV",39.1637984,-119.76740339999999
485,"Kerrville, TX",30.0474332,-99.1403189
486,"Bloomfield Township, MI",42.579310299999996,-83.2827093
487,"Hunters, WA",48.117194500000004,-118.20229170000002
488,"Canton, NC",35.5328838,-82.8373558
489,"Beverly, OH",39.54785089999999,-81.6395732
490,"Tuscaloosa, AL",33.2098407,-87.56917349999998
491,"Grapeview, WA",47.3352273,-122.8293192
492,"North East, MD",39.6001132,-75.94133269999998
493,"Cohasset, MN",47.2640071,-93.6221657
494,"Troy, NY",42.7284117,-73.69178509999998
495,"King George, VA",38.266451200000006,-77.18078419999998
496,"Arab, AL",34.318149700000006,-86.49582190000001
497,"Brick Township, NJ",40.057838399999994,-74.13718320000001
498,"Archdale, NC",35.914581,-79.97198309999999
499,"Santa Fe, NM",35.686975200000006,-105.937799
501,"Thonotosassa, FL",28.0614065,-82.3023128
502,"Hendersonville, TN",36.304773499999996,-86.6199957
503,"West Jordan, UT",40.6096698,-111.9391031
504,"Spanish Fork, UT",40.114955,-111.654923
505,"Mount Vernon, NY",40.9125992,-73.8370786
507,"Loveland, CO",40.397761200000005,-105.0749801
508,"Bluefield, WV",37.2698395,-81.2223195
509,"Twinsburg, OH",41.312555200000006,-81.4401129
511,"Prescott, AZ",34.540024200000005,-112.46850249999999
513,"French Lick, IN",38.5489431,-86.61999139999998
514,"Weitchpec, CA",41.18772209999999,-123.703994
515,"Springtown, TX",32.9659566,-97.6836384
516,"Merrimack, NH",42.867869299999995,-71.49483219999998
517,"Durham, NC",35.99403289999999,-78.898619
518,"Virginia Beach, VA",36.8529263,-75.97798499999998
519,"Little Havana, FL",25.7776438,-80.2377078
520,"Fairbanks, AK",64.8377778,-147.7163888
521,"Ashwaubenon, WI",44.4822137,-88.0701033
523,"Potsdam, NY",44.6697805,-74.9813084
524,"Lodi, CA",38.1341477,-121.27221940000001
525,"Downey, CA",33.9401088,-118.13315929999999
526,"Chester, PA",39.849557,-75.3557457
527,"Broomfield, CO",39.9205411,-105.0866504
528,"Sylacauga, AL",33.1731716,-86.2516406
529,"West Knox, TN",35.9703599,-83.95518539999998
530,"Wellman, IA",41.464180600000006,-91.8382273
531,"McAlester, OK",34.93342979999999,-95.7697131
532,"Clute, TX",29.024690600000003,-95.3988291
533,"Princeton, KY",37.1092162,-87.8819594
534,"Barstow, CA",34.89579570000001,-117.01728259999999
536,"Panorama City, CA",34.227616999999995,-118.442425
537,"Alexandria, LA",31.3112936,-92.4451371
538,"Lead, SD",44.3522065,-103.7651984
539,"Beaverton, MI",43.8822464,-84.48473159999998
540,"Brodhead, KY",37.40424960000001,-84.41382589999998
541,"Dickson, TN",36.0770048,-87.38778990000002
542,"Slidell, LA",30.2751945,-89.78117449999998
543,"Washington County, AL",31.3422346,-88.24611829999998
544,"Harrisonburg, VA",38.449568799999994,-78.8689155
545,"Shelbyville, IN",39.521437299999995,-85.7769238
546,"Sand City, CA",36.6171819,-121.8482855
547,"Paris, TX",33.6609389,-95.555513
548,"Barberville, FL",29.1872023,-81.420901
549,"Auburndale, FL",28.065297499999996,-81.7886906
551,"Happy Valley, CA",38.681940000000004,-120.56222
552,"McKinney, TX",33.1983388,-96.63893420000001
553,"Reisterstown, MD",39.4695489,-76.82942129999998
554,"Grayson County, VA",36.6721195,-81.20781640000001
555,"Wilmington, DE",39.744655,-75.54839090000002
556,"Fountain, CO",38.682219,-104.7008056
557,"Akron, OH",41.081444700000006,-81.51900529999998
558,"Wilhoit, AZ",34.4258586,-112.5868398
559,"Lovington, NM",32.9440077,-103.34855429999999
560,"Rossville, GA",34.9831309,-85.2860676
561,"Ponder, TX",33.1828974,-97.2872402
562,"San Ysidro, CA",32.555556,-117.0470434
563,"Rapid City, SD",44.0805434,-103.2310149
564,"Mora, MN",45.8769031,-93.2938352
566,"Sierra Vista, AZ",31.545500099999998,-110.27728559999998
567,"Rialto, CA",34.1064001,-117.37032350000001
568,"Amarillo, TX",35.2219971,-101.8312969
569,"Van Nuys, CA",34.1898566,-118.451357
570,"Muscle Shoals, AL",34.7448112,-87.66752919999998
571,"Hurst, TX",32.82346210000001,-97.1705678
572,"Woodbridge, NJ",40.557598600000006,-74.2846022
573,"Midwest City, OK",35.4495065,-97.39670190000001
574,"Monterey, CA",36.600237799999995,-121.8946761
