,location
87,"Gastonia, NC"
88,"Anchorage, AK"
89,"New City, NY"
90,"Orange County, FL"
91,"Nocona, TX"
92,"Smyrna, ME"
93,"Dallas, TX"
94,"Pasco, WA"
95,"Whitehaven, TN"
96,"New Castle, CO"
97,"San Jose, CA"
98,"Dadeville, AL"
99,"San Bernardino, CA"
100,"Kansas City, KS"
101,"Reading, PA"
102,"McLemoresville, TN"
103,"San Manuel, AZ"
104,"Essex, MD"
105,"Laredo, TX"
106,"Miami Gardens, FL"
107,"Iuka, MS"
108,"Colton, OR"
109,"Marana, AZ"
110,"Boise, ID"
111,"Provo, UT"
112,"Gaston County, NC"
113,"Springfield, MO"
114,"Eaton Rapids Township, MI"
115,"Tewksbury, MA"
116,"Del Rio, TX"
117,"Charlotte, NC"
118,"Euless, TX"
119,"Homewood, AL"
120,"Birmingham, AL"
121,"Ruidoso, NM"
122,"Palm Bay, FL"
123,"Allentown, PA"
124,"Denham Springs, LA"
125,"Powder Springs, GA"
126,"Clarkesville, GA"
127,"Millbrook, AL"
128,"Green Bay, WI"
129,"Las Vegas, NV"
130,"Terre Haute, IN"
131,"Lakeland, FL"
132,"Gulfport, MS"
133,"Sylvester, GA"
134,"Santa Ana, CA"
135,"Pelzer, SC"
136,"Roxand Township, MI"
137,"St Louis, MO"
138,"Tucson, AZ"
139,"Columbia, MO"
140,"Tarboro, NC"
141,"La Paz County, AZ"
142,"Barton, MS"
143,"Joilet, IL"
144,"Salisbury, MD"
145,"Deltona, FL"
146,"Milwaukee, WI"
147,"Burbank, CA"
148,"Lincoln, NE"
149,"Putnam Hall, FL"
150,"Madison, WI"
151,"Claymont, DE"
152,"Anaheim, CA"
153,"Brevard, NC"
154,"Dinosaur, CO"
155,"Cocoa, FL"
156,"Atlanta, GA"
157,"Baton Rouge, LA"
158,"Port Wentworth, GA"
159,"Ontario, CA"
160,"Cleveland, OH"
161,"Kingman, AZ"
162,"Bay Minette, AL"
163,"Hoover, AL"
164,"Elkton, MD"
165,"Washington, DC"
166,"Kansas City, MO"
167,"Fontana, CA"
168,"Walnut Creek, CA"
169,"Napa, CA"
170,"San Antonio, TX"
171,"Follansbee, WV"
172,"Kenosha, WI"
173,"Ruth, MS"
174,"Onalaska, TX"
175,"Sacramento, CA"
176,"Medford, OR"
177,"Dublin, NC"
178,"Bakersfield, CA"
179,"Glendale, AZ"
180,"Jacksonville, FL"
181,"Sumas, WA"
182,"Lawrence County, AL"
183,"Middleton, ID"
184,"Red Valley, AZ"
185,"Coal County, OK"
186,"Clarendon, NY"
187,"Harmony, IN"
188,"Cottonwood, AZ"
189,"Vallejo, CA"
190,"Portland, OR"
191,"Islip, NY"
192,"Santa Clara, CA"
193,"Fond du Lac, WI"
194,"Portsmouth, VA"
195,"Smyrna, GA"
196,"Johnsonville, SC"
197,"South Los Angeles, CA"
198,"Gardner, KS"
199,"Wilmington, CA"
200,"Encinitas, CA"
201,"Fort Pierce, FL"
202,"Webster, MA"
203,"Oxnard, CA"
204,"Fort Ashby, WV"
205,"Boston, MA"
206,"Jasper, OH"
207,"Elizabethtown, KY"
208,"Eugene, OR"
209,"Boulder City, NV"
210,"Carollwood, FL"
211,"Baytown, TX"
212,"Fort Meade, MD"
213,"Hawthorne, CA"
214,"Hamilton, NJ"
215,"Rock Island, IL"
216,"Metropolis, IL"
217,"Tulsa, OK"
218,"Pineville, LA"
219,"Winchester, VA"
220,"Zion, IL"
221,"North Charleston, SC"
222,"Orange, CA"
223,"Edgewood, NM"
224,"Tehachapi, CA"
225,"Harvey, LA"
226,"Jefferson County, ID"
227,"Pottawatomie County, OK"
228,"Valdosta, GA"
229,"Sunnyvale, CA"
230,"Kellyville, OK"
231,"Navarre, FL"
232,"Monon, IN"
233,"Straban Township, PA"
234,"Boiling Springs, SC"
235,"Corning, CA"
236,"Topeka, KS"
237,"Sand Springs, OK"
238,"Salemburg, NC"
239,"Alton, IL"
240,"DeSoto, TX"
241,"Jonesboro, AR"
242,"Miami, FL"
243,"Spartanburg, SC"
244,"Cañon City, CO"
245,"Montclair, CA"
246,"Shafter, CA"
247,"Chicago, IL"
248,"Jennings, MO"
249,"Panama City, FL"
250,"Wilmore, KY"
251,"Sidney, NE"
252,"Mission, TX"
253,"Trenton, NJ"
254,"Lakewood, WA"
255,"Irmo, SC"
256,"Bisbee, AZ"
257,"Queens, NY"
258,"Eldorado Springs, CO"
259,"Sylmar, CA"
260,"Rufe, OK"
261,"Long Beach, CA"
262,"Windsor, CA"
263,"Miami, OK"
264,"Trinidad, CO"
265,"Victoria, TX"
266,"New York, NY"
267,"Clermont, FL"
268,"Bunch, OK"
269,"Kings County, CA"
270,"Fountain Valley, CA"
271,"Detroit, MI"
272,"Mansfield, OH"
273,"Marion, IL"
274,"Chickasha, OK"
275,"Mesa, AZ"
276,"Elk Grove, CA"
277,"Emporia, VA"
278,"Nashville, TN"
279,"San Diego, CA"
280,"Smyrna, DE"
281,"Roosevelt, UT"
282,"Garland, TX"
283,"Chavies, KY"
284,"Kennewick, WA"
285,"Venice, CA"
286,"South El Monte, CA"
287,"Pulaski, VA"
288,"Wake Forest, NC"
289,"Lawrenceville, GA"
290,"Beacon, NY"
291,"Cerritos, CA"
292,"Kearny, AZ"
293,"Constantia, NY"
294,"Fridley, MN"
295,"Tacoma, WA"
296,"Landover, MD"
297,"St. Augustine, FL"
298,"Honolulu, HI"
299,"Rancho Santa Margarita, CA"
300,"Portage, MI"
301,"Rockford, IL"
302,"Harvey, IL"
303,"St. Petersburg, FL"
304,"Arlington, VA"
305,"Cabot, AR"
306,"Grand Junction, CO"
307,"Lancaster, PA"
308,"Green, OH"
309,"Owensboro, KY"
310,"Gillette, WY"
311,"Ft. Lauderdale, FL"
312,"Hackensack, NJ"
313,"Charleston, SC"
314,"Somerset, PA"
315,"Sedalia, MO"
316,"Eagar, AZ"
317,"Huntsville, AL"
318,"Snohomish, WA"
319,"Bossier City, LA"
320,"Ideal Beach, NJ"
321,"Edmond, OK"
322,"Rockville, GA"
323,"Alpine, CA"
324,"Lancaster, SC"
325,"Northglenn, CO"
326,"Carrollton, GA"
327,"Trenton, MI"
328,"Lyndhurst, NJ"
329,"Okmulgee County, OK"
330,"Wilderville, OR"
331,"Palestine, TX"
332,"Greece, NY"
333,"Roslindale, MA"
334,"Azle, TX"
335,"Delano, CA"
336,"Los Lunas, NM"
337,"Ellis County, TX"
338,"Fuqua, TX"
339,"Byram, NJ"
340,"Santa Maria, CA"
341,"Morgantown, WV"
342,"Oakland, CA"
343,"North Port, FL"
344,"Watsonsville, CA"
345,"Midland, TX"
346,"Strasburg, CO"
347,"Melbourne, FL"
348,"Woodland, WA"
349,"Beech Grove, IN"
350,"Sun City, AZ"
351,"Findlay, OH"
352,"Tomball, TX"
353,"Cincinnati, OH"
354,"Bronx, NY"
355,"Pompano Beach, FL"
356,"Columbia, TN"
357,"Bexar County, TX"
358,"Kokomo, IN"
359,"Fort Wayne, IN"
360,"Louisville, KY"
361,"Hutchins, TX"
362,"South Lake Tahoe, CA"
363,"Visalia, CA"
364,"Wood Lake, ND"
365,"Clanton, AL"
366,"Hobbs, NM"
367,"Coney Island, NY"
368,"Greeley, CO"
369,"Azusa, CA"
370,"Ronda, NC"
371,"Citrus Heights, CA"
372,"Augusta, GA"
373,"Pittsburgh, PA"
374,"Hutchinson, KS"
375,"Weatherford, TX"
376,"York County, VA"
377,"Owings Mills, MD"
378,"Fresno, CA"
379,"Malone, NY"
380,"Tahlequah, OK"
381,"Edinburg, NY"
382,"Franklin, NC"
383,"McMinnville, OR"
384,"Josephine County, OR"
385,"Brockton, MA"
386,"Meadow Bridge, WV"
387,"West Covina, CA"
388,"Lancaster, CA"
389,"Camden, NJ"
390,"Miami Beach, FL"
391,"Morristown, TN"
392,"Newport News, VA"
393,"Henderson, NV"
394,"Pleasanton, CA"
395,"Hawaiian Gardens, CA"
396,"Bath, NH"
397,"Atwater, CA"
398,"Lakewood, CA"
399,"Edinburg, TX"
400,"Atlantic City, NJ"
401,"Sugar Creek, MO"
402,"Beaverton, OR"
403,"Ashe County, NC"
404,"Parowan, UT"
405,"Boulder Creek, CA"
406,"Covington, GA"
407,"Olivehurst, CA"
408,"Plantation, FL"
409,"River Forest, IL"
410,"Casper, WY"
411,"Stone Mountain, GA"
412,"Dunsmuir, CA"
413,"Lynn, MA"
414,"Mascotte, FL"
415,"Southington, OH"
416,"Marion, MI"
417,"Moreno Valley, CA"
418,"Wauwatosa, WI"
419,"Homestead, FL"
420,"Chattanooga, TN"
421,"Cheyenne, WY"
422,"Opp, AL"
423,"Seattle, WA"
424,"Needles, CA"
425,"Brownsville, TX"
426,"Fort Collins, CO"
427,"Colby, KS"
428,"Mt. Auburn, OH"
429,"Winnie, TX"
430,"White, GA"
431,"Oakland Park, FL"
432,"Jesup, GA"
433,"Monroe, WI"
434,"Philadelphia, PA"
435,"Dayton, OH"
436,"Plymouth, MN"
437,"Myrtle Beach, SC"
438,"Douglas, WY"
439,"Meadow Vista, CA"
440,"Studio City, CA"
441,"Pinnacle, NC"
442,"Decatur, GA"
443,"Micanopy, FL"
444,"Shreveport, LA"
445,"Seneca, SC"
446,"Houma, LA"
447,"Boulder, CO"
448,"Manila, AR"
449,"Las Cruces, NM"
450,"Logan, UT"
451,"Gardnerville Ranchos, NV"
452,"Whittier, CA"
453,"Roswell, NM"
454,"Nitro, WV"
455,"Campbelltown, PA"
456,"Powhatan County, VA"
457,"Muncie, IN"
458,"San Diego County, CA"
459,"Rantoul, IL"
460,"Greenfield, WI"
461,"Maui, HI"
462,"Richmond, VA"
463,"Antioch, TN"
464,"Elsmere, KY"
465,"Arlington, TX"
466,"Superior, MT"
467,"Greenville, NC"
468,"Brookshire, TX"
469,"Summerville, SC"
470,"Spokane, WA"
471,"Ardmore, OK"
472,"Pittston, PA"
473,"Gilbert, AZ"
474,"Sandpoint, ID"
475,"Waco, TX"
476,"Odessa, TX"
477,"Toledo, OH"
478,"Staten Island, NY"
479,"Boerne, TX"
480,"District Heights, MD"
481,"Bolton, CT"
482,"Hanover, IN"
483,"Inyokern, CA"
484,"Carson City, NV"
485,"Kerrville, TX"
486,"Bloomfield Township, MI"
487,"Hunters, WA"
488,"Canton, NC"
489,"Beverly, OH"
490,"Tuscaloosa, AL"
491,"Grapeview, WA"
492,"North East, MD"
493,"Cohasset, MN"
494,"Troy, NY"
495,"King George, VA"
496,"Arab, AL"
497,"Brick Township, NJ"
498,"Archdale, NC"
499,"Santa Fe, NM"
500,"West Chester, PA"
501,"Thonotosassa, FL"
502,"Hendersonville, TN"
503,"West Jordan, UT"
504,"Spanish Fork, UT"
505,"Mount Vernon, NY"
506,"Cushing, OK"
507,"Loveland, CO"
508,"Bluefield, WV"
509,"Twinsburg, OH"
510,"Artesia, NM"
511,"Prescott, AZ"
512,"Mitchell, SD"
513,"French Lick, IN"
514,"Weitchpec, CA"
515,"Springtown, TX"
516,"Merrimack, NH"
517,"Durham, NC"
518,"Virginia Beach, VA"
519,"Little Havana, FL"
520,"Fairbanks, AK"
521,"Ashwaubenon, WI"
522,"El Monte, CA"
523,"Potsdam, NY"
524,"Lodi, CA"
525,"Downey, CA"
526,"Chester, PA"
527,"Broomfield, CO"
528,"Sylacauga, AL"
529,"West Knox, TN"
530,"Wellman, IA"
531,"McAlester, OK"
532,"Clute, TX"
533,"Princeton, KY"
534,"Barstow, CA"
535,"Chalmette, LA"
536,"Panorama City, CA"
537,"Alexandria, LA"
538,"Lead, SD"
539,"Beaverton, MI"
540,"Brodhead, KY"
541,"Dickson, TN"
542,"Slidell, LA"
543,"Washington County, AL"
544,"Harrisonburg, VA"
545,"Shelbyville, IN"
546,"Sand City, CA"
547,"Paris, TX"
548,"Barberville, FL"
549,"Auburndale, FL"
550,"Niceville, FL"
551,"Happy Valley, CA"
552,"McKinney, TX"
553,"Reisterstown, MD"
554,"Grayson County, VA"
555,"Wilmington, DE"
556,"Fountain, CO"
557,"Akron, OH"
558,"Wilhoit, AZ"
559,"Lovington, NM"
560,"Rossville, GA"
561,"Ponder, TX"
562,"San Ysidro, CA"
563,"Rapid City, SD"
564,"Mora, MN"
565,"Beckley, WV"
566,"Sierra Vista, AZ"
567,"Rialto, CA"
568,"Amarillo, TX"
569,"Van Nuys, CA"
570,"Muscle Shoals, AL"
571,"Hurst, TX"
572,"Woodbridge, NJ"
573,"Midwest City, OK"
574,"Monterey, CA"
575,"West Palm Beach, FL"
576,"Columbia, MD"
577,"Aguanga, CA"
578,"Beverly, MA"
579,"Old Saybrook, CT"
580,"Pinion Hills, CA"
581,"Cato Township, MI"
582,"Lisle, IL"
583,"Lakes Charles, LA"
584,"Taylors, SC"
585,"West Odessa, TX"
586,"Lawton, OK"
587,"Brookhaven, MS"
588,"Cartersville, GA"
589,"Naples, FL"
590,"Indio, CA"
591,"Seaside, CA"
592,"Monroeville, AL"
593,"Parma, OH"
594,"Kirkland, WA"
595,"Valinda, CA"
596,"Barrow County, GA"
597,"Columbus, MS"
598,"Modesto, CA"
599,"York, PA"
600,"Palm Beach Gardens, FL"
601,"Truth or Consequences, NM"
602,"Mandeville, LA"
603,"Cedar Rapids, IA"
604,"Calexico, CA"
605,"West Goshen, CA"
606,"Kentwood, MI"
607,"Carmichael, CA"
608,"Pine Top, KY"
609,"New Paltz, NY"
610,"Highgrove, CA"
611,"Cape Coral, FL"
612,"Cathedral City, CA"
613,"Zanesville, OH"
614,"Paddock Lake, WI"
615,"Kenai Peninsula, AK"
616,"Talking Rock, GA"
617,"Frederick, MD"
618,"Tampa, FL"
619,"Savannah, GA"
620,"Point Loma, CA"
621,"Smithville, MS"
622,"Salem, OR"
623,"Hohenwald, TN"
624,"Old Town, FL"
625,"Burkesville, KY"
626,"Mesquite, TX"
627,"Norwood, OK"
628,"Colorado Springs, CO"
629,"Opelika, AL"
630,"Hutchinson, MN"
631,"Eureka, CA"
632,"Council, ID"
633,"Marksville, LA"
634,"Merced, CA"
635,"Pacific Beach, CA"
636,"Hominy, OK"
637,"Lakeshire, MO"
638,"Goose Creek, SC"
639,"Wadesboro, NC"
640,"North Laredo, TX"
641,"Braxton County, WV"
642,"Chico, CA"
643,"Brighton, CO"
644,"Dillon, MT"
645,"Aiken, SC"
646,"Gibson County, TN"
647,"Jurupa Valley, CA"
648,"Eden, GA"
649,"Spring Lake, NC"
650,"Germantown, PA"
651,"Minneapolis, MN"
652,"Leon County, TX"
653,"Whitfield County, GA"
654,"Cayce, SC"
655,"Arlington, GA"
656,"Little Egg Harbor, NJ"
657,"Opa-Locka, FL"
658,"Benton Township, MI"
659,"Manatee, FL"
660,"Paulding County, GA"
661,"Colbert, OK"
662,"Reno, NV"
663,"Corpus Christi, TX"
664,"Columbia Heights, MN"
665,"Ozark, MO"
666,"Lampe, MO"
667,"Seagoville, TX"
668,"Celina, OH"
669,"Maysville, MO"
670,"Wink, TX"
671,"Bangor, ME"
672,"Norwalk, CA"
673,"Deming, NM"
674,"Big Springs, NE"
675,"Mount Washington, PA"
676,"Irving, TX"
677,"Neenah, WI"
678,"Richmond Heights, OH"
679,"Laramie, WY"
680,"Yonkers, NY"
681,"Leitchfield, KY"
682,"Pryor, OK"
683,"Marina, CA"
684,"Lynwood, CA"
685,"Healdton, OK"
686,"East Stroudsburg, PA"
687,"Denton, TX"
688,"Thurston County, WA"
689,"Mountain View, CO"
690,"Middle River, MD"
691,"Humboldt, TN"
692,"Gilroy, CA"
693,"Mount Hope, WV"
694,"Dallas, NC"
695,"Camarillo, CA"
696,"Kent, OH"
697,"Northwood, OH"
698,"Knoxville, TN"
699,"Taos, NM"
700,"Concord, VA"
701,"Palmdale, CA"
702,"Douglasville, GA"
703,"Breaux Bridge, LA"
704,"Canaan Township, PA"
705,"Smartsville, CA"
706,"Ludlow, KY"
707,"Burlington, VT"
708,"Brooksville, FL"
709,"Dearborn, MI"
710,"Winnsboro, LA"
711,"Pride, LA"
712,"Lansing, MI"
713,"Porterville, CA"
714,"Palo Alto, CA"
715,"Homedale, ID"
716,"Lucedale, MS"
717,"Franklin, LA"
718,"Suffolk, VA"
719,"Santa Nella, CA"
720,"Rosemead, CA"
721,"Rawlins, WY"
722,"Livingston, MT"
723,"Maryneal, TX"
724,"Sioux Falls, SD"
725,"Ragley, LA"
726,"Olympia, WA"
727,"Johnson City, TN"
728,"Redding, CA"
729,"Ceres, CA"
730,"Upper Darby, PA"
731,"Carrizozo, NM"
732,"Daviess County, KY"
733,"Geneva, WI"
734,"Acworth, GA"
735,"Kelso, WA"
736,"Rising Sun, MD"
737,"San Fernando, CA"
738,"Penn Township, PA"
739,"Spenard, AK"
740,"Norfolk, VA"
741,"Sevierville, TN"
742,"Cle Elum, WA"
743,"Hurst, IL"
744,"Santa Clarita, CA"
745,"Elkins, WV"
746,"Southfield, MI"
747,"Hollywood Hills, CA"
748,"El Cajon, CA"
749,"Petroleum, WV"
750,"Belle Glade, FL"
751,"North Hills, CA"
752,"Rainbow City, AL"
753,"Union City, CA"
754,"Statesville, NC"
755,"Port Barre, LA"
756,"Meridianville, AL"
757,"Eufaula, OK"
758,"Burns, OR"
759,"Mountain Pine, AR"
760,"Latta, SC"
761,"Lenoir City, TN"
762,"Mansfield, TX"
763,"Cobb County, GA"
764,"Clackamas County, OR"
765,"Phenix City, AL"
766,"Wilkinsburg, PA"
767,"Immokalee, FL"
768,"Saginaw, TX"
769,"Newark, CA"
770,"Rancho Cordova, CA"
771,"Schulter, OK"
772,"Ocala, FL"
773,"Rosebud, SD"
774,"Perry Township, OH"
775,"Hilo, HI"
776,"Milton, FL"
777,"Union Grove, NC"
778,"Seaside, OR"
779,"Austin, AR"
780,"Manchester, NJ"
781,"Abingdon, MD"
782,"Barrow, AK"
783,"Roseville, MN"
784,"Henderson County, TX"
785,"Maiden, NC"
786,"Syracuse, NY"
787,"Urbandale, IA"
788,"Beckville, TX"
789,"Arvonia, VA"
790,"Bradenton, FL"
791,"Jal, NM"
792,"Yorba Linda, CA"
793,"Fairfield, CT"
794,"Republic, MO"
795,"Mena, AR"
796,"Commerce, GA"
797,"Reno, TX"
798,"Ogden, UT"
799,"Elizabethton, TN"
800,"Inglewood, CA"
801,"Houston, AK"
802,"Fairborn, OH"
803,"Ripon, CA"
804,"Blue Springs, MO"
805,"Bailey, CO"
806,"East Troy, WI"
807,"Montgomery, AL"
808,"Silver Springs, NV"
809,"Hesston, KS"
810,"Roanoke, VA"
811,"Rapid Valley, SD"
812,"Ashville, AL"
813,"Raleigh, NC"
814,"Gautier, MS"
815,"Bel Air, MD"
816,"Johnstown, PA"
817,"Sims, AR"
818,"East Bernstadt, KY"
819,"Cheektowaga, NY"
820,"Beaumont, TX"
821,"Bismarck, ND"
822,"Rochester, NY"
823,"Carlsbad, NM"
824,"Biloxi, MS"
825,"Colorado City, CO"
826,"Rosalia, KS"
827,"Clinton, IL"
828,"Greensboro, NC"
829,"Glendale, CA"
830,"Addison, TX"
831,"Piedmont, AL"
832,"Vancouver, WA"
833,"Russellville, KY"
834,"Evansville, IN"
835,"Florence, CA"
836,"Anson County, NC"
837,"Burnsville, MN"
838,"Byron, CA"
839,"Idaho Falls, ID"
840,"Covington, LA"
841,"White Plains, KY"
842,"Hopewell, VA"
843,"Fort Littleton, PA"
844,"Gainesville, FL"
845,"Stamford, CT"
846,"South Greensburg, PA"
847,"Fredericksburg, VA"
848,"Thornton, CO"
849,"Raleigh, TN"
850,"Braintree, MA"
851,"Pawtucket, RI"
852,"Redlands, CA"
853,"Pueblo of Laguna, NM"
854,"Lowell, MA"
855,"Grundy, VA"
856,"Lee's Summit, MO"
857,"Winslow, AZ"
858,"Kinston, NC"
859,"Splendora, TX"
860,"Clearlake Park, CA"
861,"Piedmont, SC"
862,"Aitkin, MN"
863,"Jackson, GA"
864,"Lockhart, TX"
865,"Raceland, LA"
866,"Macon County, AL"
867,"Eau Claire, WI"
868,"West Springfield, MA"
869,"Oak Hill, OH"
870,"Gallatin, TN"
871,"Lake Hallie, WI"
872,"New Brunswick, NJ"
873,"Rotterdam, NY"
874,"Benton, IL"
875,"Noma, FL"
876,"Llano, TX"
877,"Sparta, TN"
878,"McPherson, KS"
879,"Lake Elsinore, CA"
880,"Cache, OK"
881,"Antioch, IL"
882,"Vineland, NJ"
883,"Greenbelt, MD"
884,"Mableton, GA"
885,"Brooksville, AL"
886,"Perryville, AR"
887,"Everett, MA"
888,"Berne, NY"
889,"Antigo, WI"
890,"Fayetteville, AR"
891,"East Flat Rock, NC"
892,"Lakewood, CO"
893,"Kingsbury, TX"
894,"Milcreek, UT"
895,"Westminster, CO"
896,"Jackson, MO"
897,"Wausau, WI"
898,"Florence, AZ"
899,"Alamo, TN"
900,"Greenville, SC"
901,"Burien, WA"
902,"Temecula, CA"
903,"Buffalo, MO"
904,"Gretna, LA"
905,"Weirton, WV"
906,"Lake Stevens, WA"
907,"Presque Isle, ME"
908,"St. Martin, MS"
909,"Hog Valley, FL"
910,"Nacogdoches, TX"
911,"Taunton, MA"
912,"Byng, OK"
913,"Boyle Heights, CA"
914,"Jacksonsville, FL"
915,"Osteen, FL"
916,"Stockbridge, GA"
917,"Shawnee National Forest, IL"
918,"Riverdale, GA"
919,"Siskiyou County, CA"
920,"Sullivan, MO"
921,"Fisty, KY"
922,"Chesterfield County, SC"
923,"Oregon City, OR"
924,"Flagstaff, AZ"
925,"Hallandale Beach, FL"
926,"Oxford, MA"
927,"Gresham, OR"
928,"Harrisonville, MO"
929,"Lansing, IL"
930,"Washington Park, IL"
931,"Solvang, CA"
932,"Sneads, FL"
933,"Socorro, NM"
934,"Eastaboga, AL"
935,"Deland, FL"
936,"Clinton, NC"
937,"Stoneville, NC"
938,"Tualatin, OR"
939,"Bend, OR"
940,"Newnan, GA"
941,"Berea, KY"
942,"Wasilla, AK"
943,"Parker, AZ"
944,"Yreka, CA"
945,"Eufaula, AL"
946,"Wagoner, OK"
947,"Turlock, CA"
948,"Norman, VA"
949,"Port Arthur, TX"
950,"Ishpeming Township, MI"
951,"Somerton, AZ"
952,"Iredell County, NC"
953,"Yakima, WA"
954,"Tupelo, MS"
955,"Maywood, CA"
956,"Eagle Mountain, UT"
957,"Hiseville, KY"
958,"Schenectady, NY"
959,"Mobile, AL"
960,"Tiverton, RI"
961,"Odessa, MO"
962,"Chula Vista, CA"
963,"Pembine, WI"
964,"Butte, MT"
965,"Montpelier, OH"
966,"Fort Walton Beach, FL"
967,"Hardeeville, SC"
968,"Lake Havasu City, AZ"
969,"Peterborough, NH"
970,"Lawndale, NC"
971,"Wellington, FL"
972,"Walls, MS"
973,"Bellville, TX"
974,"Belleville, IL"
975,"Hanover, NM"
976,"Paterson, NJ"
977,"Farmington, AR"
978,"Fulshear, TX"
979,"Riverview, FL"
980,"Pinellas Park, FL"
981,"Gainesville, GA"
982,"Buckeye, AZ"
983,"Columbia Township, MI"
984,"Thomaston, CT"
985,"Dolton, IL"
986,"Boone, IA"
987,"Cochran, GA"
988,"Laguna Pueblo, NM"
989,"Frederica, DE"
990,"Barbourville, KY"
991,"Ouachita Parish, LA"
992,"Fort Madison, IA"
993,"Park County, CO"
994,"Landrum, SC"
995,"Jackson, WI"
996,"Asheville, NC"
997,"Bristol, TN"
998,"New Iberia, LA"
999,"Fullerton, CA"
1000,"Rosser, TX"
1001,"Yuma, AZ"
1002,"Falcon Heights, MN"
1003,"Rush Springs, OK"
1004,"Bell, CA"
1005,"Clovis, CA"
1006,"Selma, AL"
1007,"Broken Bow, OK"
1008,"East St. Louis, IL"
1009,"Romulus, MI"
1010,"St. Joseph, MI"
1011,"Middletown, NY"
1012,"Peachland, NC"
1013,"Lake Asbury, FL"
1014,"Little Egg Harbor Township, NJ"
1015,"Sheboygan, WI"
1016,"Buckhannon, WV"
1017,"Winchester, CA"
1018,"Gallup, NM"
1019,"Pine River, WI"
1020,"Estill Springs, TN"
1021,"Metairie, LA"
1022,"Malta, MT"
1023,"Sparks, NV"
1024,"La Quinta, CA"
1025,"Compton, CA"
1026,"City Terrace, CA"
1027,"Pleasant Hill, NC"
1028,"Phelps, KY"
1029,"Wapato, WA"
1030,"Edmund, SC"
1031,"Stafford, VA"
1032,"Lake City, SC"
1033,"Alexandria, MN"
1034,"Hammett, ID"
1035,"Castaic, CA"
1036,"Clearfield, UT"
1037,"Scott County, VA"
1038,"Aldie, VA"
1039,"East Point, GA"
1040,"Santee, CA"
1041,"Beaver Dam, WI"
1042,"Harrisburg, PA"
1043,"Little Mountain, SC"
1044,"Wilkesboro, NC"
1045,"Georgetown, KY"
1046,"Circleville, OH"
1047,"Plaquemine, LA"
1048,"Tukwila, WA"
1049,"Vista, CA"
1050,"Hayward, CA"
1051,"Falls Church, VA"
1052,"Counce, TN"
1053,"Augusta, WV"
1054,"Rome, OH"
1055,"Lenoir, NC"
1056,"Apache Junction, AZ"
1057,"Antelope, CA"
1058,"Hays, KS"
1059,"Poway, CA"
1060,"McKinneyville, CA"
1061,"East Hollywood, CA"
1062,"New London, WI"
1063,"East Ridge, TN"
1064,"Hamilton, OH"
1065,"Myra, TX"
1066,"Oak Cliff, TX"
1067,"Shelbyville, TN"
1068,"Eagan, MN"
1069,"Graham, WA"
1070,"Harker Heights, TX"
1071,"McDowell, MO"
1072,"Sylvania Township, OH"
1073,"Huntington Park, CA"
1074,"Alamogordo, NM"
1075,"Parker, CO"
1076,"Round Lake, IL"
1077,"East Wenatchee, WA"
1078,"Temple, TX"
1079,"Spencer, WV"
1080,"Gray, TN"
1081,"Albany, GA"
1082,"Titusville, FL"
1083,"Delhi, CA"
